# This file was created Sat Jan 10 13:28:49 2026
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/HuR New Modified 4
# Command line:
#   gmx rms -s processed.gro -f centered_new.xtc -n index.ndx -o RMSD_Final.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Good ROcking Metal Altar for Chronical Sinners
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0965540
   0.0100000    0.2337485
   0.0200000    0.2816242
   0.0300000    0.3497689
   0.0400000    0.3844449
   0.0500000    0.4219233
   0.0600000    0.4557720
   0.0700000    0.4922322
   0.0800000    0.5267481
   0.0900000    0.5638272
   0.1000000    0.5793442
   0.1100000    0.6304818
   0.1200000    0.6611826
   0.1300000    0.6801691
   0.1400000    0.6980210
   0.1500000    0.7075655
   0.1600000    0.7158278
   0.1700000    0.7206171
   0.1800000    0.7404106
   0.1900000    0.7762544
   0.2000000    0.7847350
   0.2100000    0.7831941
   0.2200000    0.7891479
   0.2300000    0.7996613
   0.2400000    0.8142669
   0.2500000    0.8375567
   0.2600000    0.8718807
   0.2700000    0.9034979
   0.2800000    0.9178060
   0.2900000    0.9428917
   0.3000000    0.9672914
   0.3100000    0.9792039
   0.3200000    0.9934742
   0.3300000    1.0057949
   0.3400000    1.0124173
   0.3500000    1.0195702
   0.3600000    1.0274562
   0.3700000    1.0296539
   0.3800000    1.0332438
   0.3900000    1.0262781
   0.4000000    1.0218853
   0.4100000    1.0351868
   0.4200000    1.0586790
   0.4300000    1.0596406
   0.4400000    1.0695266
   0.4500000    1.0795606
   0.4600000    1.0595915
   0.4700000    1.0737398
   0.4800000    1.0956002
   0.4900000    1.0950575
   0.5000000    1.0889672
   0.5100001    1.0982039
   0.5200000    1.1095171
   0.5300000    1.1185755
   0.5400000    1.1076874
   0.5500000    1.1041293
   0.5600000    1.0944014
   0.5700001    1.0865085
   0.5800000    1.1055167
   0.5900000    1.1174864
   0.6000000    1.1544958
   0.6100000    1.1656288
   0.6200000    1.1641104
   0.6300001    1.1657815
   0.6400000    1.1766779
   0.6500000    1.1993136
   0.6600000    1.2058769
   0.6700000    1.2039249
   0.6800000    1.2146994
   0.6900001    1.2139447
   0.7000000    1.2087790
   0.7100000    1.2142370
   0.7200000    1.1902902
   0.7300000    1.2009002
   0.7400000    1.2168745
   0.7500001    1.2178087
   0.7600001    1.2171298
   0.7700000    1.1996952
   0.7800000    1.2159009
   0.7900000    1.2169858
   0.8000000    1.2305962
   0.8100001    1.2561713
   0.8200001    1.2501178
   0.8300000    1.2437975
   0.8400000    1.2309778
   0.8500000    1.2457664
   0.8600000    1.2623450
   0.8700001    1.2356627
   0.8800001    1.2548116
   0.8900000    1.2599546
   0.9000000    1.2484305
   0.9100000    1.2730556
   0.9200000    1.2597793
   0.9300001    1.2316433
   0.9400001    1.2104394
   0.9500000    1.2084352
   0.9600000    1.2110575
   0.9700000    1.2053709
   0.9800000    1.1935407
   0.9900001    1.1851387
   1.0000000    1.2148377
