# This file was created Sat Nov 29 14:08:11 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with ES2 -- Test 1
# Command line:
#   gmx rms -s SOX2_E1_processed.gro -f SOX2_E1_centered.xtc -n index.ndx -o SOX2_E1_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Getting the Right Output Means no Artefacts in Calculating Stuff
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0909699
   0.0100000    0.1012718
   0.0200000    0.1022686
   0.0300000    0.1022248
   0.0400000    0.1019444
   0.0500000    0.1007018
   0.0600000    0.1002220
   0.0700000    0.1006534
   0.0800000    0.1014369
   0.0900000    0.1030167
   0.1000000    0.1013828
   0.1100000    0.1007990
   0.1200000    0.1028190
   0.1300000    0.1029800
   0.1400000    0.1020990
   0.1500000    0.1019661
   0.1600000    0.1012179
   0.1700000    0.1016408
   0.1800000    0.1029394
   0.1900000    0.1039722
   0.2000000    0.1026493
   0.2100000    0.1015136
   0.2200000    0.1020252
   0.2300000    0.1026418
   0.2400000    0.1033539
   0.2500000    0.1037557
   0.2600000    0.1034214
   0.2700000    0.1028583
   0.2800000    0.1025574
   0.2900000    0.1028785
   0.3000000    0.1031540
   0.3100000    0.1030235
   0.3200000    0.1027007
   0.3300000    0.1028773
   0.3400000    0.1026975
   0.3500000    0.1030065
   0.3600000    0.1027476
   0.3700000    0.1026419
   0.3800000    0.1025832
   0.3900000    0.1023982
   0.4000000    0.1027124
   0.4100000    0.1030045
   0.4200000    0.1030218
   0.4300000    0.1026850
   0.4400000    0.1031934
   0.4500000    0.1029068
   0.4600000    0.1029590
   0.4700000    0.1024531
   0.4800000    0.1025081
   0.4900000    0.1032095
   0.5000000    0.1029524
   0.5100001    0.1028534
   0.5200000    0.1032815
   0.5300000    0.1023020
   0.5400000    0.1025449
   0.5500000    0.1028861
   0.5600000    0.1031708
   0.5700001    0.1029406
   0.5800000    0.1024798
   0.5900000    0.1028929
   0.6000000    0.1026672
   0.6100000    0.1025807
   0.6200000    0.1027388
   0.6300001    0.1027176
   0.6400000    0.1028204
   0.6500000    0.1030443
   0.6600000    0.1029018
   0.6700000    0.1026659
   0.6800000    0.1029166
   0.6900001    0.1026177
   0.7000000    0.1028965
   0.7100000    0.1029724
   0.7200000    0.1028319
   0.7300000    0.1030679
   0.7400000    0.1027622
   0.7500001    0.1028117
   0.7600001    0.1026065
   0.7700000    0.1030054
   0.7800000    0.1032625
   0.7900000    0.1029268
   0.8000000    0.1029578
   0.8100001    0.1027323
   0.8200001    0.1026341
   0.8300000    0.1022625
   0.8400000    0.1030043
   0.8500000    0.1028347
   0.8600000    0.1030973
   0.8700001    0.1022409
   0.8800001    0.1024096
   0.8900000    0.1026538
   0.9000000    0.1023417
   0.9100000    0.1028299
   0.9200000    0.1029348
   0.9300001    0.1030667
   0.9400001    0.1029093
   0.9500000    0.1026902
   0.9600000    0.1026118
   0.9700000    0.1023663
   0.9800000    0.1029414
   0.9900001    0.1033246
   1.0000000    0.1033487
