# This file was created Sat Nov 29 14:13:26 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with ES2 -- Test 2
# Command line:
#   gmx rms -s SOX2_E2_processed.gro -f SOX2_E2_centered.xtc -n index.ndx -o SOX2_E2_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# GRoups of Organic Molecules in ACtion for Science
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0954927
   0.0100000    0.1017292
   0.0200000    0.1033800
   0.0300000    0.1025730
   0.0400000    0.1017804
   0.0500000    0.1030640
   0.0600000    0.1026448
   0.0700000    0.1031796
   0.0800000    0.1025196
   0.0900000    0.1022485
   0.1000000    0.1020077
   0.1100000    0.1024346
   0.1200000    0.1029223
   0.1300000    0.1025099
   0.1400000    0.1025488
   0.1500000    0.1028806
   0.1600000    0.1032563
   0.1700000    0.1027518
   0.1800000    0.1020051
   0.1900000    0.1021524
   0.2000000    0.1027934
   0.2100000    0.1023788
   0.2200000    0.1025652
   0.2300000    0.1028016
   0.2400000    0.1027503
   0.2500000    0.1026182
   0.2600000    0.1027708
   0.2700000    0.1025879
   0.2800000    0.1025726
   0.2900000    0.1023564
   0.3000000    0.1020921
   0.3100000    0.1028277
   0.3200000    0.1033138
   0.3300000    0.1028974
   0.3400000    0.1027766
   0.3500000    0.1026040
   0.3600000    0.1025213
   0.3700000    0.1027065
   0.3800000    0.1025710
   0.3900000    0.1029415
   0.4000000    0.1028249
   0.4100000    0.1032531
   0.4200000    0.1030903
   0.4300000    0.1026624
   0.4400000    0.1025058
   0.4500000    0.1029123
   0.4600000    0.1025854
   0.4700000    0.1029382
   0.4800000    0.1025560
   0.4900000    0.1025640
   0.5000000    0.1026681
   0.5100001    0.1028052
   0.5200000    0.1028169
   0.5300000    0.1026248
   0.5400000    0.1028214
   0.5500000    0.1028097
   0.5600000    0.1028413
   0.5700001    0.1028682
   0.5800000    0.1030178
   0.5900000    0.1027596
   0.6000000    0.1030377
   0.6100000    0.1026948
   0.6200000    0.1025180
   0.6300001    0.1027018
   0.6400000    0.1024871
   0.6500000    0.1028333
   0.6600000    0.1024894
   0.6700000    0.1029076
   0.6800000    0.1026570
   0.6900001    0.1025520
   0.7000000    0.1025073
   0.7100000    0.1029880
   0.7200000    0.1026445
   0.7300000    0.1027838
   0.7400000    0.1024579
   0.7500001    0.1028339
   0.7600001    0.1028234
   0.7700000    0.1029721
   0.7800000    0.1026785
   0.7900000    0.1027683
   0.8000000    0.1029784
   0.8100001    0.1027656
   0.8200001    0.1028547
   0.8300000    0.1026543
   0.8400000    0.1027662
   0.8500000    0.1027569
   0.8600000    0.1029520
   0.8700001    0.1026518
   0.8800001    0.1025748
   0.8900000    0.1027724
   0.9000000    0.1030640
   0.9100000    0.1028293
   0.9200000    0.1026973
   0.9300001    0.1030928
   0.9400001    0.1029287
   0.9500000    0.1023457
   0.9600000    0.1023242
   0.9700000    0.1025834
   0.9800000    0.1027363
   0.9900001    0.1029491
   1.0000000    0.1030569
