# This file was created Sat Nov 29 18:16:32 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with ES2 -- Test 3
# Command line:
#   gmx rms -s SOX2_E3_processed.gro -f SOX2_E3_centered.xtc -n index.ndx -o SOX2_E3_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# GRowing Old MAkes el Chrono Sweat
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.1191203
   0.0100000    0.1258892
   0.0200000    0.1302212
   0.0300000    0.1276744
   0.0400000    0.1263510
   0.0500000    0.1385263
   0.0600000    0.1306129
   0.0700000    0.1297924
   0.0800000    0.1409482
   0.0900000    0.1300686
   0.1000000    0.1424666
   0.1100000    0.1345972
   0.1200000    0.1308478
   0.1300000    0.1564498
   0.1400000    0.1295276
   0.1500000    0.1402402
   0.1600000    0.1558525
   0.1700000    0.1296174
   0.1800000    0.1367987
   0.1900000    0.1630079
   0.2000000    0.1306154
   0.2100000    0.1302869
   0.2200000    0.1615221
   0.2300000    0.1489172
   0.2400000    0.1311183
   0.2500000    0.1324049
   0.2600000    0.1626945
   0.2700000    0.1567307
   0.2800000    0.1310326
   0.2900000    0.1315102
   0.3000000    0.1508756
   0.3100000    0.1735443
   0.3200000    0.1407744
   0.3300000    0.1325445
   0.3400000    0.1314904
   0.3500000    0.1543684
   0.3600000    0.1752008
   0.3700000    0.1464429
   0.3800000    0.1315467
   0.3900000    0.1312227
   0.4000000    0.1440304
   0.4100000    0.1753117
   0.4200000    0.1641053
   0.4300000    0.1339418
   0.4400000    0.1333746
   0.4500000    0.1323961
   0.4600000    0.1563389
   0.4700000    0.1812994
   0.4800000    0.1602159
   0.4900000    0.1336730
   0.5000000    0.1339909
   0.5100001    0.1328622
   0.5200000    0.1512017
   0.5300000    0.1786891
   0.5400000    0.1693012
   0.5500000    0.1401404
   0.5600000    0.1330305
   0.5700001    0.1325686
   0.5800000    0.1422957
   0.5900000    0.1707385
   0.6000000    0.1757283
   0.6100000    0.1477665
   0.6200000    0.1331912
   0.6300001    0.1332063
   0.6400000    0.1349047
   0.6500000    0.1581173
   0.6600000    0.1801248
   0.6700000    0.1694236
   0.6800000    0.1411951
   0.6900001    0.1331652
   0.7000000    0.1336283
   0.7100000    0.1338741
   0.7200000    0.1553524
   0.7300000    0.1804916
   0.7400000    0.1767188
   0.7500001    0.1481009
   0.7600001    0.1328698
   0.7700000    0.1344567
   0.7800000    0.1327060
   0.7900000    0.1403719
   0.8000000    0.1667599
   0.8100001    0.1858058
   0.8200001    0.1746738
   0.8300000    0.1479703
   0.8400000    0.1328050
   0.8500000    0.1341337
   0.8600000    0.1330934
   0.8700001    0.1332886
   0.8800001    0.1507119
   0.8900000    0.1760000
   0.9000000    0.1854180
   0.9100000    0.1724114
   0.9200000    0.1471389
   0.9300001    0.1327722
   0.9400001    0.1337393
   0.9500000    0.1342482
   0.9600000    0.1320731
   0.9700000    0.1395567
   0.9800000    0.1609250
   0.9900001    0.1804040
   1.0000000    0.1847465
