# This file was created Sun Nov 30 13:25:55 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with ES2 -- Test 4
# Command line:
#   gmx rms -s SOX2_E4_processed.gro -f SOX2_E4_centered.xtc -n index.ndx -o SOX2_E4_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Giant Rising Ordinary Mutants for A Clerical Setup
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.1049475
   0.0100000    0.1139792
   0.0200000    0.1172512
   0.0300000    0.1117405
   0.0400000    0.1132438
   0.0500000    0.1155286
   0.0600000    0.1119220
   0.0700000    0.1139524
   0.0800000    0.1164683
   0.0900000    0.1116300
   0.1000000    0.1127633
   0.1100000    0.1162618
   0.1200000    0.1137211
   0.1300000    0.1129641
   0.1400000    0.1139033
   0.1500000    0.1128597
   0.1600000    0.1141314
   0.1700000    0.1153219
   0.1800000    0.1132081
   0.1900000    0.1127158
   0.2000000    0.1149512
   0.2100000    0.1143919
   0.2200000    0.1132067
   0.2300000    0.1138711
   0.2400000    0.1140196
   0.2500000    0.1131317
   0.2600000    0.1147927
   0.2700000    0.1144401
   0.2800000    0.1129227
   0.2900000    0.1137455
   0.3000000    0.1141995
   0.3100000    0.1132264
   0.3200000    0.1134531
   0.3300000    0.1144802
   0.3400000    0.1136572
   0.3500000    0.1140868
   0.3600000    0.1146180
   0.3700000    0.1133689
   0.3800000    0.1141451
   0.3900000    0.1142328
   0.4000000    0.1142431
   0.4100000    0.1139060
   0.4200000    0.1139086
   0.4300000    0.1137735
   0.4400000    0.1139125
   0.4500000    0.1139440
   0.4600000    0.1144321
   0.4700000    0.1140998
   0.4800000    0.1141437
   0.4900000    0.1139647
   0.5000000    0.1140490
   0.5100001    0.1142228
   0.5200000    0.1141651
   0.5300000    0.1140140
   0.5400000    0.1135978
   0.5500000    0.1140745
   0.5600000    0.1141596
   0.5700001    0.1144789
   0.5800000    0.1144632
   0.5900000    0.1137270
   0.6000000    0.1137933
   0.6100000    0.1139891
   0.6200000    0.1143059
   0.6300001    0.1138899
   0.6400000    0.1138178
   0.6500000    0.1140863
   0.6600000    0.1139433
   0.6700000    0.1141952
   0.6800000    0.1143703
   0.6900001    0.1141722
   0.7000000    0.1139721
   0.7100000    0.1140839
   0.7200000    0.1143968
   0.7300000    0.1142179
   0.7400000    0.1139385
   0.7500001    0.1139689
   0.7600001    0.1139991
   0.7700000    0.1142310
   0.7800000    0.1142157
   0.7900000    0.1140927
   0.8000000    0.1142625
   0.8100001    0.1143885
   0.8200001    0.1146498
   0.8300000    0.1139610
   0.8400000    0.1141375
   0.8500000    0.1145071
   0.8600000    0.1145801
   0.8700001    0.1142558
   0.8800001    0.1140677
   0.8900000    0.1141447
   0.9000000    0.1146359
   0.9100000    0.1146654
   0.9200000    0.1151479
   0.9300001    0.1141472
   0.9400001    0.1138341
   0.9500000    0.1146220
   0.9600000    0.1150773
   0.9700000    0.1147800
   0.9800000    0.1150169
   0.9900001    0.1148803
   1.0000000    0.1145903
