# This file was created Sun Nov 30 22:18:15 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with ES2 -- Test 5
# Command line:
#   gmx rms -s SOX2_E5_processed.gro -f SOX2_E5_centered.xtc -n index.ndx -o SOX2_E5_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Guyana Rwanda Oman Macau Angola Cameroon Senegal
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.1079277
   0.0100000    0.1139242
   0.0200000    0.1138356
   0.0300000    0.1140937
   0.0400000    0.1138039
   0.0500000    0.1140213
   0.0600000    0.1144729
   0.0700000    0.1150738
   0.0800000    0.1153606
   0.0900000    0.1148617
   0.1000000    0.1146941
   0.1100000    0.1163497
   0.1200000    0.1158771
   0.1300000    0.1158573
   0.1400000    0.1162181
   0.1500000    0.1165356
   0.1600000    0.1178245
   0.1700000    0.1169718
   0.1800000    0.1168658
   0.1900000    0.1198462
   0.2000000    0.1176402
   0.2100000    0.1173759
   0.2200000    0.1181711
   0.2300000    0.1181746
   0.2400000    0.1189879
   0.2500000    0.1171889
   0.2600000    0.1178042
   0.2700000    0.1205368
   0.2800000    0.1188192
   0.2900000    0.1206308
   0.3000000    0.1183780
   0.3100000    0.1194432
   0.3200000    0.1197163
   0.3300000    0.1188997
   0.3400000    0.1224265
   0.3500000    0.1203205
   0.3600000    0.1262266
   0.3700000    0.1219179
   0.3800000    0.1267424
   0.3900000    0.1223879
   0.4000000    0.1233469
   0.4100000    0.1244255
   0.4200000    0.1222597
   0.4300000    0.1328474
   0.4400000    0.1259946
   0.4500000    0.1333987
   0.4600000    0.1234333
   0.4700000    0.1240063
   0.4800000    0.1343976
   0.4900000    0.1282762
   0.5000000    0.1336267
   0.5100001    0.1268520
   0.5200000    0.1272737
   0.5300000    0.1404013
   0.5400000    0.1256461
   0.5500000    0.1259363
   0.5600000    0.1417722
   0.5700001    0.1255812
   0.5800000    0.1268540
   0.5900000    0.1413679
   0.6000000    0.1282860
   0.6100000    0.1301989
   0.6200000    0.1356960
   0.6300001    0.1382977
   0.6400000    0.1298364
   0.6500000    0.1265920
   0.6600000    0.1478081
   0.6700000    0.1284674
   0.6800000    0.1318727
   0.6900001    0.1316134
   0.7000000    0.1480380
   0.7100000    0.1278053
   0.7200000    0.1320252
   0.7300000    0.1338944
   0.7400000    0.1483354
   0.7500001    0.1288466
   0.7600001    0.1335323
   0.7700000    0.1306716
   0.7800000    0.1512380
   0.7900000    0.1304267
   0.8000000    0.1336657
   0.8100001    0.1289204
   0.8200001    0.1510930
   0.8300000    0.1343130
   0.8400000    0.1334230
   0.8500000    0.1287936
   0.8600000    0.1462551
   0.8700001    0.1480828
   0.8800001    0.1295871
   0.8900000    0.1329761
   0.9000000    0.1329181
   0.9100000    0.1548404
   0.9200000    0.1379696
   0.9300001    0.1322793
   0.9400001    0.1327897
   0.9500000    0.1346995
   0.9600000    0.1560424
   0.9700000    0.1376180
   0.9800000    0.1316119
   0.9900001    0.1323701
   1.0000000    0.1339259
