# This file was created Tue Nov 25 17:11:31 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with S100A14 -- Test 1
# Command line:
#   gmx rms -s SOX2_S1_processed.gro -f SOX2_S1_centered.xtc -n index.ndx -o SOX2_S1_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# GRowing Old MAkes el Chrono Sweat
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0624599
   0.0100000    0.0879807
   0.0200000    0.0889832
   0.0300000    0.0873054
   0.0400000    0.0870394
   0.0500000    0.0892919
   0.0600000    0.0954299
   0.0700000    0.0892327
   0.0800000    0.0974068
   0.0900000    0.0924333
   0.1000000    0.0988645
   0.1100000    0.0928586
   0.1200000    0.1087053
   0.1300000    0.0935786
   0.1400000    0.1029185
   0.1500000    0.1070632
   0.1600000    0.0942738
   0.1700000    0.1039644
   0.1800000    0.1126758
   0.1900000    0.0957274
   0.2000000    0.0966903
   0.2100000    0.1146480
   0.2200000    0.1053108
   0.2300000    0.0950897
   0.2400000    0.0998513
   0.2500000    0.1171927
   0.2600000    0.1013814
   0.2700000    0.0950896
   0.2800000    0.0992809
   0.2900000    0.1172321
   0.3000000    0.1110102
   0.3100000    0.0969231
   0.3200000    0.0958409
   0.3300000    0.1099823
   0.3400000    0.1159601
   0.3500000    0.1002991
   0.3600000    0.0954396
   0.3700000    0.0989364
   0.3800000    0.1142693
   0.3900000    0.1129912
   0.4000000    0.0979909
   0.4100000    0.0957354
   0.4200000    0.1032611
   0.4300000    0.1167758
   0.4400000    0.1089670
   0.4500000    0.0972373
   0.4600000    0.0955194
   0.4700000    0.1014859
   0.4800000    0.1177003
   0.4900000    0.1137801
   0.5000000    0.0996419
   0.5100001    0.0962967
   0.5200000    0.0985467
   0.5300000    0.1118881
   0.5400000    0.1169283
   0.5500000    0.1039757
   0.5600000    0.0970621
   0.5700001    0.0969094
   0.5800000    0.1054024
   0.5900000    0.1180366
   0.6000000    0.1130786
   0.6100000    0.1004834
   0.6200000    0.0966090
   0.6300001    0.0985998
   0.6400000    0.1120294
   0.6500000    0.1189338
   0.6600000    0.1075181
   0.6700000    0.0985895
   0.6800000    0.0967118
   0.6900001    0.0998576
   0.7000000    0.1122222
   0.7100000    0.1184707
   0.7200000    0.1072285
   0.7300000    0.0987255
   0.7400000    0.0964587
   0.7500001    0.1017449
   0.7600001    0.1136283
   0.7700000    0.1167271
   0.7800000    0.1059375
   0.7900000    0.0976711
   0.8000000    0.0965511
   0.8100001    0.1026797
   0.8200001    0.1145566
   0.8300000    0.1160086
   0.8400000    0.1057499
   0.8500000    0.0988611
   0.8600000    0.0971378
   0.8700001    0.1014283
   0.8800001    0.1120570
   0.8900000    0.1203204
   0.9000000    0.1143667
   0.9100000    0.1043692
   0.9200000    0.0985960
   0.9300001    0.0971070
   0.9400001    0.0977373
   0.9500000    0.1056172
   0.9600000    0.1159722
   0.9700000    0.1218749
   0.9800000    0.1168546
   0.9900001    0.1069673
   1.0000000    0.1001415
