# This file was created Wed Nov 26 17:09:33 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with S100A14 -- Test 2
# Command line:
#   gmx rms -s SOX2_S2_processed.gro -n index.ndx -f SOX2_S2_centered.xtc -o SOX2_S2_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Gnomes, ROck Monsters And Chili Sauce
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0766608
   0.0100000    0.0949282
   0.0200000    0.0944934
   0.0300000    0.0942742
   0.0400000    0.0964040
   0.0500000    0.1022773
   0.0600000    0.1039048
   0.0700000    0.1056444
   0.0800000    0.1011833
   0.0900000    0.1033966
   0.1000000    0.1069199
   0.1100000    0.1062201
   0.1200000    0.1061500
   0.1300000    0.1049934
   0.1400000    0.1054352
   0.1500000    0.1125285
   0.1600000    0.1044779
   0.1700000    0.1092763
   0.1800000    0.1048623
   0.1900000    0.1068239
   0.2000000    0.1127530
   0.2100000    0.1058332
   0.2200000    0.1073562
   0.2300000    0.1077473
   0.2400000    0.1060635
   0.2500000    0.1131064
   0.2600000    0.1116748
   0.2700000    0.1056416
   0.2800000    0.1098670
   0.2900000    0.1100233
   0.3000000    0.1067578
   0.3100000    0.1123747
   0.3200000    0.1159645
   0.3300000    0.1078704
   0.3400000    0.1083283
   0.3500000    0.1089819
   0.3600000    0.1077079
   0.3700000    0.1148560
   0.3800000    0.1133197
   0.3900000    0.1066267
   0.4000000    0.1092121
   0.4100000    0.1081497
   0.4200000    0.1099082
   0.4300000    0.1149715
   0.4400000    0.1095455
   0.4500000    0.1081883
   0.4600000    0.1084747
   0.4700000    0.1089163
   0.4800000    0.1154777
   0.4900000    0.1140804
   0.5000000    0.1078820
   0.5100001    0.1094454
   0.5200000    0.1083396
   0.5300000    0.1098929
   0.5400000    0.1173953
   0.5500000    0.1154862
   0.5600000    0.1085147
   0.5700001    0.1102750
   0.5800000    0.1125234
   0.5900000    0.1110002
   0.6000000    0.1093989
   0.6100000    0.1165943
   0.6200000    0.1215944
   0.6300001    0.1146704
   0.6400000    0.1099771
   0.6500000    0.1123759
   0.6600000    0.1124166
   0.6700000    0.1088349
   0.6800000    0.1107376
   0.6900001    0.1188957
   0.7000000    0.1221676
   0.7100000    0.1166146
   0.7200000    0.1107754
   0.7300000    0.1126508
   0.7400000    0.1152511
   0.7500001    0.1121136
   0.7600001    0.1085736
   0.7700000    0.1122303
   0.7800000    0.1201240
   0.7900000    0.1210854
   0.8000000    0.1155763
   0.8100001    0.1109825
   0.8200001    0.1130317
   0.8300000    0.1158224
   0.8400000    0.1124909
   0.8500000    0.1094653
   0.8600000    0.1114785
   0.8700001    0.1191148
   0.8800001    0.1237665
   0.8900000    0.1223919
   0.9000000    0.1160670
   0.9100000    0.1117682
   0.9200000    0.1128198
   0.9300001    0.1157411
   0.9400001    0.1152726
   0.9500000    0.1115902
   0.9600000    0.1106924
   0.9700000    0.1153703
   0.9800000    0.1225366
   0.9900001    0.1250598
   1.0000000    0.1235729
