# This file was created Thu Nov 27 11:51:46 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with S100A14 -- Test 3
# Command line:
#   gmx rms -s SOX2_S3_processed.gro -f SOX2_S3_centered.xtc -n index.ndx -o SOX2_S3_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Gromacs Runs On Most of All Computer Systems
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0823285
   0.0100000    0.0979827
   0.0200000    0.0980868
   0.0300000    0.0989268
   0.0400000    0.0980244
   0.0500000    0.0992541
   0.0600000    0.1008061
   0.0700000    0.1020200
   0.0800000    0.1009773
   0.0900000    0.0996301
   0.1000000    0.1035127
   0.1100000    0.1031178
   0.1200000    0.0996091
   0.1300000    0.1028739
   0.1400000    0.1056101
   0.1500000    0.1012375
   0.1600000    0.1020593
   0.1700000    0.1063046
   0.1800000    0.1011342
   0.1900000    0.1031178
   0.2000000    0.1079242
   0.2100000    0.1006204
   0.2200000    0.1086855
   0.2300000    0.1049368
   0.2400000    0.1019430
   0.2500000    0.1113953
   0.2600000    0.1028756
   0.2700000    0.1088961
   0.2800000    0.1068686
   0.2900000    0.1047635
   0.3000000    0.1112733
   0.3100000    0.1035993
   0.3200000    0.1131369
   0.3300000    0.1020180
   0.3400000    0.1133797
   0.3500000    0.1034186
   0.3600000    0.1139232
   0.3700000    0.1035669
   0.3800000    0.1141839
   0.3900000    0.1046739
   0.4000000    0.1187596
   0.4100000    0.1042691
   0.4200000    0.1260026
   0.4300000    0.1043045
   0.4400000    0.1268771
   0.4500000    0.1068181
   0.4600000    0.1207189
   0.4700000    0.1156493
   0.4800000    0.1059036
   0.4900000    0.1335233
   0.5000000    0.1074060
   0.5100001    0.1141003
   0.5200000    0.1256226
   0.5300000    0.1049598
   0.5400000    0.1238517
   0.5500000    0.1163783
   0.5600000    0.1085360
   0.5700001    0.1304940
   0.5800000    0.1101021
   0.5900000    0.1144608
   0.6000000    0.1292100
   0.6100000    0.1073270
   0.6200000    0.1197711
   0.6300001    0.1258526
   0.6400000    0.1069377
   0.6500000    0.1237885
   0.6600000    0.1253513
   0.6700000    0.1071883
   0.6800000    0.1236527
   0.6900001    0.1264386
   0.7000000    0.1080480
   0.7100000    0.1219379
   0.7200000    0.1282856
   0.7300000    0.1082598
   0.7400000    0.1191816
   0.7500001    0.1325469
   0.7600001    0.1092111
   0.7700000    0.1143073
   0.7800000    0.1347077
   0.7900000    0.1115797
   0.8000000    0.1106505
   0.8100001    0.1325759
   0.8200001    0.1157665
   0.8300000    0.1086638
   0.8400000    0.1283967
   0.8500000    0.1234502
   0.8600000    0.1085438
   0.8700001    0.1199703
   0.8800001    0.1299752
   0.8900000    0.1095107
   0.9000000    0.1147467
   0.9100000    0.1321403
   0.9200000    0.1125019
   0.9300001    0.1109331
   0.9400001    0.1317031
   0.9500000    0.1182701
   0.9600000    0.1087433
   0.9700000    0.1255265
   0.9800000    0.1271122
   0.9900001    0.1088599
   1.0000000    0.1150630
