# This file was created Sat Nov 29 15:35:53 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with S100A14 -- Test 4
# Command line:
#   gmx rms -s SOX2_S4_processed.gro -f SOX2_S4_centered.xtc -n index.ndx -o SOX2_S4_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Glycine aRginine prOline Methionine Alanine Cystine Serine
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0797212
   0.0100000    0.1027112
   0.0200000    0.1024221
   0.0300000    0.1035761
   0.0400000    0.1029235
   0.0500000    0.1040033
   0.0600000    0.1024918
   0.0700000    0.1015454
   0.0800000    0.1031632
   0.0900000    0.1032234
   0.1000000    0.1060482
   0.1100000    0.1056961
   0.1200000    0.1033445
   0.1300000    0.1038129
   0.1400000    0.1084753
   0.1500000    0.1047829
   0.1600000    0.1071314
   0.1700000    0.1091519
   0.1800000    0.1069336
   0.1900000    0.1145212
   0.2000000    0.1082363
   0.2100000    0.1168984
   0.2200000    0.1098705
   0.2300000    0.1100446
   0.2400000    0.1257883
   0.2500000    0.1115816
   0.2600000    0.1135218
   0.2700000    0.1277722
   0.2800000    0.1121533
   0.2900000    0.1133647
   0.3000000    0.1321350
   0.3100000    0.1156378
   0.3200000    0.1140342
   0.3300000    0.1295979
   0.3400000    0.1234450
   0.3500000    0.1165162
   0.3600000    0.1210285
   0.3700000    0.1353175
   0.3800000    0.1177047
   0.3900000    0.1177134
   0.4000000    0.1235052
   0.4100000    0.1374699
   0.4200000    0.1197227
   0.4300000    0.1187929
   0.4400000    0.1189112
   0.4500000    0.1344543
   0.4600000    0.1359617
   0.4700000    0.1193859
   0.4800000    0.1191375
   0.4900000    0.1195193
   0.5000000    0.1357626
   0.5100001    0.1394975
   0.5200000    0.1218989
   0.5300000    0.1197665
   0.5400000    0.1189472
   0.5500000    0.1302343
   0.5600000    0.1419115
   0.5700001    0.1266016
   0.5800000    0.1193968
   0.5900000    0.1193501
   0.6000000    0.1272643
   0.6100000    0.1420162
   0.6200000    0.1318204
   0.6300001    0.1200753
   0.6400000    0.1207241
   0.6500000    0.1215600
   0.6600000    0.1378352
   0.6700000    0.1410681
   0.6800000    0.1233267
   0.6900001    0.1204182
   0.7000000    0.1202327
   0.7100000    0.1313249
   0.7200000    0.1430600
   0.7300000    0.1288552
   0.7400000    0.1203342
   0.7500001    0.1215983
   0.7600001    0.1223064
   0.7700000    0.1372810
   0.7800000    0.1430548
   0.7900000    0.1274253
   0.8000000    0.1209256
   0.8100001    0.1212807
   0.8200001    0.1251414
   0.8300000    0.1412239
   0.8400000    0.1385949
   0.8500000    0.1225154
   0.8600000    0.1212696
   0.8700001    0.1211145
   0.8800001    0.1317756
   0.8900000    0.1446290
   0.9000000    0.1328730
   0.9100000    0.1208022
   0.9200000    0.1217556
   0.9300001    0.1206918
   0.9400001    0.1304458
   0.9500000    0.1446448
   0.9600000    0.1360783
   0.9700000    0.1215591
   0.9800000    0.1215129
   0.9900001    0.1207615
   1.0000000    0.1306756
