# This file was created Sat Nov 29 18:22:34 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with S100A14 -- Test 5
# Command line:
#   gmx rms -s SOX2_S5_processed.gro -f SOX2_S5_centered.xtc -n index.ndx -o SOX2_S5_RMSD_AlphaFold.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Great Red Owns Many ACres of Sand 
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0744744
   0.0100000    0.0943523
   0.0200000    0.0942161
   0.0300000    0.0943241
   0.0400000    0.0949119
   0.0500000    0.0939821
   0.0600000    0.0944179
   0.0700000    0.0944483
   0.0800000    0.0948659
   0.0900000    0.0951214
   0.1000000    0.0948811
   0.1100000    0.0951177
   0.1200000    0.0943576
   0.1300000    0.0943057
   0.1400000    0.0945911
   0.1500000    0.0948606
   0.1600000    0.0947420
   0.1700000    0.0942344
   0.1800000    0.0944483
   0.1900000    0.0944467
   0.2000000    0.0950505
   0.2100000    0.0946880
   0.2200000    0.0945626
   0.2300000    0.0947561
   0.2400000    0.0948797
   0.2500000    0.0949946
   0.2600000    0.0945766
   0.2700000    0.0948231
   0.2800000    0.0952969
   0.2900000    0.0954343
   0.3000000    0.0953502
   0.3100000    0.0948833
   0.3200000    0.0954768
   0.3300000    0.0946587
   0.3400000    0.0951366
   0.3500000    0.0971171
   0.3600000    0.0965632
   0.3700000    0.0963272
   0.3800000    0.0979255
   0.3900000    0.0966436
   0.4000000    0.1015960
   0.4100000    0.0972956
   0.4200000    0.1028279
   0.4300000    0.0975978
   0.4400000    0.1033845
   0.4500000    0.0983349
   0.4600000    0.1016978
   0.4700000    0.1008125
   0.4800000    0.0989424
   0.4900000    0.1027756
   0.5000000    0.0990667
   0.5100001    0.1019119
   0.5200000    0.1008513
   0.5300000    0.0996200
   0.5400000    0.1077371
   0.5500000    0.1017561
   0.5600000    0.1021878
   0.5700001    0.1125921
   0.5800000    0.1126580
   0.5900000    0.1037496
   0.6000000    0.1061922
   0.6100000    0.1110876
   0.6200000    0.1278260
   0.6300001    0.1180865
   0.6400000    0.1050812
   0.6500000    0.1096819
   0.6600000    0.1077424
   0.6700000    0.1076812
   0.6800000    0.1209332
   0.6900001    0.1291050
   0.7000000    0.1183349
   0.7100000    0.1061318
   0.7200000    0.1073560
   0.7300000    0.1109221
   0.7400000    0.1086168
   0.7500001    0.1081450
   0.7600001    0.1171907
   0.7700000    0.1286410
   0.7800000    0.1318801
   0.7900000    0.1243093
   0.8000000    0.1131385
   0.8100001    0.1064468
   0.8200001    0.1073100
   0.8300000    0.1116362
   0.8400000    0.1128305
   0.8500000    0.1094719
   0.8600000    0.1071153
   0.8700001    0.1111415
   0.8800001    0.1211429
   0.8900000    0.1299868
   0.9000000    0.1315840
   0.9100000    0.1246626
   0.9200000    0.1139962
   0.9300001    0.1069844
   0.9400001    0.1073645
   0.9500000    0.1104309
   0.9600000    0.1114529
   0.9700000    0.1084728
   0.9800000    0.1101202
   0.9900001    0.1205416
   1.0000000    0.1300021
