# This file was created Sun Dec 14 01:24:10 2025
# Created by:
#                       :-) GROMACS - gmx rms, 2024.3 (-:
# 
# Executable:   /users/cdohert4/gromacs-2024.3/bin/gmx
# Data prefix:  /users/cdohert4/gromacs-2024.3
# Working dir:  /oscar/home/cdohert4/Experimental Data/SOX2 Interaction with SOX2 mRNA
# Command line:
#   gmx rms -s processed.gro -f centered.xtc -n index.ndx -o RMSD.xvg -tu ns
# gmx rms is part of G R O M A C S:
#
# Getting the Right Output Means no Artefacts in Calculating Stuff
#
@    title "RMSD"
@    xaxis  label "Time (ns)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "Protein_RNA after lsq fit to RNA"
   0.0000000    0.0938288
   0.0100000    0.2394930
   0.0200000    0.3164108
   0.0300000    0.3590394
   0.0400000    0.3930807
   0.0500000    0.4500445
   0.0600000    0.5066540
   0.0700000    0.5392935
   0.0800000    0.5536823
   0.0900000    0.5814422
   0.1000000    0.6192158
   0.1100000    0.6506869
   0.1200000    0.6805554
   0.1300000    0.6964953
   0.1400000    0.7183634
   0.1500000    0.7307969
   0.1600000    0.7657802
   0.1700000    0.7610829
   0.1800000    0.7835140
   0.1900000    0.8071971
   0.2000000    0.8157595
   0.2100000    0.8117320
   0.2200000    0.8312163
   0.2300000    0.8742243
   0.2400000    0.8876020
   0.2500000    0.9196333
   0.2600000    0.9453626
   0.2700000    0.9327761
   0.2800000    0.9496526
   0.2900000    0.9313764
   0.3000000    0.9604836
   0.3100000    0.9868597
   0.3200000    0.9832770
   0.3300000    0.9931417
   0.3400000    0.9985256
   0.3500000    1.0321176
   0.3600000    1.0397862
   0.3700000    1.0394309
   0.3800000    1.0460848
   0.3900000    1.0382607
   0.4000000    1.0416317
   0.4100000    1.0468521
   0.4200000    1.0440764
   0.4300000    1.0468830
   0.4400000    1.0542897
   0.4500000    1.0583413
   0.4600000    1.0499086
   0.4700000    1.0497483
   0.4800000    1.0559565
   0.4900000    1.0620353
   0.5000000    1.0577266
   0.5100001    1.0718825
   0.5200000    1.0515876
   0.5300000    1.0742257
   0.5400000    1.0860814
   0.5500000    1.1157057
   0.5600000    1.1204050
   0.5700001    1.1123263
   0.5800000    1.0997357
   0.5900000    1.0965105
   0.6000000    1.1108346
   0.6100000    1.1096108
   0.6200000    1.0946419
   0.6300001    1.0887363
   0.6400000    1.1061786
   0.6500000    1.1123042
   0.6600000    1.1376241
   0.6700000    1.1586256
   0.6800000    1.1725972
   0.6900001    1.1652486
   0.7000000    1.1841092
   0.7100000    1.1911261
   0.7200000    1.2080954
   0.7300000    1.2195681
   0.7400000    1.2301100
   0.7500001    1.2366595
   0.7600001    1.2505640
   0.7700000    1.2341229
   0.7800000    1.2382122
   0.7900000    1.2242906
   0.8000000    1.2148637
   0.8100001    1.1879046
   0.8200001    1.1760495
   0.8300000    1.1613426
   0.8400000    1.1720375
   0.8500000    1.1795322
   0.8600000    1.1662308
   0.8700001    1.1595170
   0.8800001    1.1715157
   0.8900000    1.1842839
   0.9000000    1.1831191
   0.9100000    1.1693696
   0.9200000    1.1522752
   0.9300001    1.1434960
   0.9400001    1.1405810
   0.9500000    1.1389774
   0.9600000    1.1212361
   0.9700000    1.1227961
   0.9800000    1.1275191
   0.9900001    1.1242142
   1.0000000    1.0964782
